ID,Time,Angle
0f,2023-09-05 14:47:00,165.223388671875
0f,2023-09-05 14:47:01,235.338134765625
0f,2023-09-05 14:47:02,272.98828125
0f,2023-09-05 14:47:03,319.295654296875
0f,2023-09-05 14:47:04,34.5245361328125
0f,2023-09-05 14:47:05,84.8309326171875
0f,2023-09-05 14:47:06,101.744384765625
0f,2023-09-05 14:47:07,90.1263427734375
0f,2023-09-05 14:47:08,92.2796630859375
0f,2023-09-05 14:47:09,75.56396484375
0f,2023-09-05 14:47:10,79.420166015625
0f,2023-09-05 14:47:11,89.769287109375
0f,2023-09-05 14:47:12,84.561767578125
0f,2023-09-05 14:47:13,67.950439453125
0f,2023-09-05 14:47:14,86.2261962890625
0f,2023-09-05 14:47:15,103.128662109375
0f,2023-09-05 14:47:16,72.509765625
0f,2023-09-05 14:47:17,81.595458984375
0f,2023-09-05 14:47:18,88.297119140625
0f,2023-09-05 14:47:19,53.4649658203125
0f,2023-09-05 14:47:20,68.0877685546875
0f,2023-09-05 14:47:21,74.0753173828125
0f,2023-09-05 14:47:22,82.5567626953125
0f,2023-09-05 14:47:23,82.99072265625
0f,2023-09-05 14:47:24,66.258544921875
0f,2023-09-05 14:47:25,50.2459716796875
0f,2023-09-05 14:47:26,13.99658203125
0f,2023-09-05 14:47:27,301.5692138671875
0f,2023-09-05 14:47:28,6.031494140625
0f,2023-09-05 14:47:29,337.730712890625
0f,2023-09-05 14:47:30,32.7337646484375
0f,2023-09-05 14:47:31,24.8236083984375
0f,2023-09-05 14:47:32,109.70947265625
0f,2023-09-05 14:47:33,157.093505859375
0f,2023-09-05 14:47:34,159.9444580078125
0f,2023-09-05 14:47:35,172.3370361328125
0f,2023-09-05 14:47:36,180.4888916015625
0f,2023-09-05 14:47:37,174.693603515625
0f,2023-09-05 14:47:38,147.72216796875
0f,2023-09-05 14:47:39,134.01123046875
0f,2023-09-05 14:47:40,132.4456787109375
0f,2023-09-05 14:47:41,205.3125
0f,2023-09-05 14:47:42,219.979248046875
0f,2023-09-05 14:47:43,200.7147216796875
0f,2023-09-05 14:47:44,208.1195068359375
0f,2023-09-05 14:47:45,193.6614990234375
0f,2023-09-05 14:47:46,179.3902587890625
0f,2023-09-05 14:47:47,187.3388671875
0f,2023-09-05 14:47:48,186.558837890625
0f,2023-09-05 14:47:49,153.0010986328125
0f,2023-09-05 14:47:50,144.063720703125
0f,2023-09-05 14:47:51,207.79541015625
0f,2023-09-05 14:47:52,221.923828125
0f,2023-09-05 14:47:53,222.7313232421875
0f,2023-09-05 14:47:54,246.544189453125
0f,2023-09-05 14:47:55,229.053955078125
0f,2023-09-05 14:47:56,226.439208984375
0f,2023-09-05 14:47:57,229.6197509765625
0f,2023-09-05 14:47:58,231.8939208984375
0f,2023-09-05 14:47:59,233.470458984375
0f,2023-09-05 14:48:00,231.580810546875
0f,2023-09-05 14:48:01,229.50439453125
0f,2023-09-05 14:48:02,229.5428466796875
0f,2023-09-05 14:48:03,229.713134765625
0f,2023-09-05 14:48:04,229.0704345703125
0f,2023-09-05 14:48:05,229.251708984375
0f,2023-09-05 14:48:06,229.0484619140625
0f,2023-09-05 14:48:07,228.746337890625
0f,2023-09-05 14:48:08,229.06494140625
0f,2023-09-05 14:48:09,231.0260009765625
0f,2023-09-05 14:48:10,208.1854248046875
0f,2023-09-05 14:48:11,200.3466796875
0f,2023-09-05 14:48:12,244.6600341796875
0f,2023-09-05 14:48:13,288.08349609375
0f,2023-09-05 14:48:14,285.09521484375
0f,2023-09-05 14:48:15,262.59521484375
0f,2023-09-05 14:48:16,188.470458984375
0f,2023-09-05 14:48:17,124.4970703125
0f,2023-09-05 14:48:18,134.6429443359375
0f,2023-09-05 14:48:19,142.1795654296875
0f,2023-09-05 14:48:20,133.450927734375
0f,2023-09-05 14:48:21,102.447509765625
0f,2023-09-05 14:48:22,157.87353515625
0f,2023-09-05 14:48:23,117.0208740234375
0f,2023-09-05 14:48:24,133.6761474609375
0f,2023-09-05 14:48:25,142.437744140625
0f,2023-09-05 14:48:26,123.739013671875
0f,2023-09-05 14:48:27,122.7447509765625
0f,2023-09-05 14:48:28,127.606201171875
0f,2023-09-05 14:48:29,152.6715087890625
0f,2023-09-05 14:48:30,137.87841796875
0f,2023-09-05 14:48:31,88.9617919921875
0f,2023-09-05 14:48:32,137.537841796875
0f,2023-09-05 14:48:33,171.903076171875
0f,2023-09-05 14:48:34,197.6495361328125
0f,2023-09-05 14:48:35,128.9739990234375
0f,2023-09-05 14:48:36,140.60302734375
0f,2023-09-05 14:48:37,138.5211181640625
0f,2023-09-05 14:48:38,140.7952880859375
0f,2023-09-05 14:48:39,122.36572265625
0f,2023-09-05 14:48:40,181.2030029296875
0f,2023-09-05 14:48:41,231.8115234375
0f,2023-09-05 14:48:42,274.7845458984375
0f,2023-09-05 14:48:43,236.019287109375
0f,2023-09-05 14:48:44,210.322265625
0f,2023-09-05 14:48:45,211.2176513671875
0f,2023-09-05 14:48:46,223.143310546875
0f,2023-09-05 14:48:47,214.508056640625
0f,2023-09-05 14:48:48,227.5653076171875
0f,2023-09-05 14:48:49,212.0965576171875
0f,2023-09-05 14:48:50,213.310546875
0f,2023-09-05 14:48:51,206.7462158203125
0f,2023-09-05 14:48:52,214.7003173828125
0f,2023-09-05 14:48:53,218.8037109375
0f,2023-09-05 14:48:54,196.644287109375
0f,2023-09-05 14:48:55,218.47412109375
0f,2023-09-05 14:48:56,222.4346923828125
0f,2023-09-05 14:48:57,217.5732421875
0f,2023-09-05 14:48:58,192.0025634765625
0f,2023-09-05 14:48:59,145.83251953125
0f,2023-09-05 14:49:00,140.86669921875
0f,2023-09-05 14:49:01,131.7864990234375
0f,2023-09-05 14:49:02,213.68408203125
0f,2023-09-05 14:49:03,311.7645263671875
0f,2023-09-05 14:49:04,355.2813720703125
0f,2023-09-05 14:49:05,343.6029052734375
